#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 08 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.0 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 30 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 40 999 99.0 99.0  1.70  7.14  5.15 204 1005.5 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.6 999.0   9.7 999.0 99.0 99.00 
2023 01 01 09 00 999 99.0 99.0 99.00 99.00 99.00 999 1005.3 999.0   9.7 999.0 99.0 99.00 
2023 01 01 09 10 999 99.0 99.0  1.99  7.69  5.45 207 1005.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 20 999 99.0 99.0 99.00 99.00 99.00 999 1005.0 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.8 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 40 999 99.0 99.0  2.00  7.14  5.45 205 1004.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 10 00 999 99.0 99.0 99.00 99.00 99.00 999 1003.9 999.0   9.6 999.0 99.0 99.00 
2023 01 01 10 10 999 99.0 99.0  2.00  7.69  5.52 200 1003.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 20 999 99.0 99.0 99.00 99.00 99.00 999 1003.6 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 40 999 99.0 99.0  1.99  7.14  5.59 203 1003.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.0 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 10 999 99.0 99.0  2.18  7.69  5.78 206 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 40 999 99.0 99.0  2.13  7.69  5.70 204 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 10 999 99.0 99.0  2.27  7.14  5.90 212 1004.4 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 40 999 99.0 99.0  2.27  8.33  6.02 217 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 10 999 99.0 99.0  2.17  9.09  5.80 212 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.5 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 13 40 999 99.0 99.0  2.03  8.33  5.77 203 1004.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 13 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 10 999 99.0 99.0  2.08  9.09  5.83 194 1005.5 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 20 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 30 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 40 999 99.0 99.0  2.36  8.33  5.73 210 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 15 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.0 999.0   9.5 999.0 99.0 99.00 
2023 01 01 15 10 999 99.0 99.0  2.15  9.09  5.60 212 1006.2 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 30 999 99.0 99.0 99.00 99.00 99.00 999 1006.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 40 999 99.0 99.0  2.35  8.33  5.75 202 1006.4 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 10 999 99.0 99.0  2.59  9.09  6.14 198 1006.4 999.0   9.3 999.0 99.0 99.00 
2023 01 01 16 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 30 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 40 999 99.0 99.0  2.94  9.09  6.47 205 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.7 999.0   9.4 999.0 99.0 99.00 
2023 01 01 17 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 17 10 999 99.0 99.0  2.74  9.09  6.40 193 1006.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 17 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 17 30 999 99.0 99.0 99.00 99.00 99.00 999 1006.8 999.0   9.3 999.0 99.0 99.00 
2023 01 01 17 40 999 99.0 99.0  2.72  9.09  6.31 196 1007.1 999.0   9.4 999.0 99.0 99.00 
2023 01 01 17 50 999 99.0 99.0 99.00 99.00 99.00 999 1007.2 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 00 999 99.0 99.0 99.00 99.00 99.00 999 1007.3 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 10 999 99.0 99.0  2.74 10.00  6.32 185 1007.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 20 999 99.0 99.0 99.00 99.00 99.00 999 1008.1 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 30 999 99.0 99.0 99.00 99.00 99.00 999 1008.1 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 40 999 99.0 99.0  2.75  9.09  6.26 202 1007.8 999.0   9.3 999.0 99.0 99.00 
2023 01 01 18 50 999 99.0 99.0 99.00 99.00 99.00 999 1007.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 19 00 999 99.0 99.0 99.00 99.00 99.00 999 1007.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 19 10 999 99.0 99.0  2.69  9.09  6.38 188 1007.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 19 20 999 99.0 99.0 99.00 99.00 99.00 999 1007.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 19 30 999 99.0 99.0 99.00 99.00 99.00 999 1008.0 999.0   9.4 999.0 99.0 99.00 
2023 01 01 19 40 999 99.0 99.0  2.80  9.09  6.55 190 1008.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 19 50 999 99.0 99.0 99.00 99.00 99.00 999 1008.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 00 999 99.0 99.0 99.00 99.00 99.00 999 1008.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 10 999 99.0 99.0  2.77  9.09  6.59 194 1008.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 20 999 99.0 99.0 99.00 99.00 99.00 999 1008.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 30 999 99.0 99.0 99.00 99.00 99.00 999 1009.0 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 40 999 99.0 99.0  3.01 10.00  6.92 189 1009.1 999.0   9.4 999.0 99.0 99.00 
2023 01 01 20 50 999 99.0 99.0 99.00 99.00 99.00 999 1008.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 21 00 999 99.0 99.0 99.00 99.00 99.00 999 1009.1 999.0   9.3 999.0 99.0 99.00 
2023 01 01 21 10 999 99.0 99.0 99.00 99.00 99.00 999 1009.1 999.0   9.3 999.0 99.0 99.00 
2023 01 01 21 20 999 99.0 99.0 99.00 99.00 99.00 999 1009.4 999.0   9.3 999.0 99.0 99.00 
2023 01 01 21 30 999 99.0 99.0 99.00 99.00 99.00 999 1009.2 999.0   9.3 999.0 99.0 99.00 
2023 01 01 21 40 999 99.0 99.0  2.74  9.09  6.68 199 1009.4 999.0   9.3 999.0 99.0 99.00 
2023 01 01 21 50 999 99.0 99.0 99.00 99.00 99.00 999 1009.5 999.0   9.3 999.0 99.0 99.00 
2023 01 01 22 00 999 99.0 99.0 99.00 99.00 99.00 999 1009.6 999.0   9.3 999.0 99.0 99.00 
2023 01 01 22 10 999 99.0 99.0  2.63 10.00  6.56 183 1009.9 999.0   9.3 999.0 99.0 99.00 
2023 01 01 22 20 999 99.0 99.0 99.00 99.00 99.00 999 1010.1 999.0   9.4 999.0 99.0 99.00 
2023 01 01 22 30 999 99.0 99.0 99.00 99.00 99.00 999 1010.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 22 40 999 99.0 99.0  2.56 10.00  6.51 184 1010.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 22 50 999 99.0 99.0 99.00 99.00 99.00 999 1010.7 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 00 999 99.0 99.0 99.00 99.00 99.00 999 1010.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 10 999 99.0 99.0  2.69  9.09  6.51 189 1010.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 20 999 99.0 99.0 99.00 99.00 99.00 999 1011.1 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 30 999 99.0 99.0 99.00 99.00 99.00 999 1011.2 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 40 999 99.0 99.0  2.34  9.09  6.13 190 1011.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 23 50 999 99.0 99.0 99.00 99.00 99.00 999 1011.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 00 999 99.0 99.0 99.00 99.00 99.00 999 1011.6 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 10 999 99.0 99.0  2.70  8.33  6.48 201 1011.8 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 20 999 99.0 99.0 99.00 99.00 99.00 999 1011.9 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 30 999 99.0 99.0 99.00 99.00 99.00 999 1012.0 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 40 999 99.0 99.0  2.46 10.00  6.15 187 1012.3 999.0   9.4 999.0 99.0 99.00 
2023 01 02 00 50 999 99.0 99.0 99.00 99.00 99.00 999 1012.4 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 00 999 99.0 99.0 99.00 99.00 99.00 999 1012.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 10 999 99.0 99.0  2.59  9.09  6.14 191 1012.4 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 20 999 99.0 99.0 99.00 99.00 99.00 999 1012.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 30 999 99.0 99.0 99.00 99.00 99.00 999 1012.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 40 999 99.0 99.0  2.59 10.00  6.25 191 1012.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 01 50 999 99.0 99.0 99.00 99.00 99.00 999 1012.5 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 00 999 99.0 99.0 99.00 99.00 99.00 999 1012.7 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 10 999 99.0 99.0  2.75 10.00  6.56 197 1012.9 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 20 999 99.0 99.0 99.00 99.00 99.00 999 1012.8 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 30 999 99.0 99.0 99.00 99.00 99.00 999 1013.0 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 40 999 99.0 99.0  2.62  9.09  6.29 194 1013.2 999.0   9.4 999.0 99.0 99.00 
2023 01 02 02 50 999 99.0 99.0 99.00 99.00 99.00 999 1013.2 999.0   9.4 999.0 99.0 99.00 
2023 01 02 03 00 999 99.0 99.0 99.00 99.00 99.00 999 1013.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 03 10 999 99.0 99.0  2.44 10.00  6.29 193 1013.4 999.0   9.3 999.0 99.0 99.00 
2023 01 02 03 20 999 99.0 99.0 99.00 99.00 99.00 999 1013.6 999.0   9.3 999.0 99.0 99.00 
2023 01 02 03 30 999 99.0 99.0 99.00 99.00 99.00 999 1013.7 999.0   9.3 999.0 99.0 99.00 
2023 01 02 03 40 999 99.0 99.0  2.65  8.33  6.35 205 1013.8 999.0   9.3 999.0 99.0 99.00 
2023 01 02 03 50 999 99.0 99.0 99.00 99.00 99.00 999 1013.7 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 00 999 99.0 99.0 99.00 99.00 99.00 999 1014.0 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 10 999 99.0 99.0  2.46  9.09  6.26 206 1014.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 20 999 99.0 99.0 99.00 99.00 99.00 999 1014.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 30 999 99.0 99.0 99.00 99.00 99.00 999 1014.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 40 999 99.0 99.0  2.43  9.09  6.17 198 1014.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 04 50 999 99.0 99.0 99.00 99.00 99.00 999 1014.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 00 999 99.0 99.0 99.00 99.00 99.00 999 1014.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 10 999 99.0 99.0  2.46  9.09  6.17 192 1014.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 20 999 99.0 99.0 99.00 99.00 99.00 999 1014.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 30 999 99.0 99.0 99.00 99.00 99.00 999 1014.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 40 999 99.0 99.0  2.39  7.14  6.26 216 1014.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 05 50 999 99.0 99.0 99.00 99.00 99.00 999 1014.4 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 00 999 99.0 99.0 99.00 99.00 99.00 999 1014.5 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 10 999 99.0 99.0  2.05  9.09  5.97 176 1014.6 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 20 999 99.0 99.0 99.00 99.00 99.00 999 1014.7 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 30 999 99.0 99.0 99.00 99.00 99.00 999 1014.8 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 40 999 99.0 99.0  2.20  8.33  6.15 195 1015.0 999.0   9.3 999.0 99.0 99.00 
2023 01 02 06 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 00 999 99.0 99.0 99.00 99.00 99.00 999 1015.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 10 999 99.0 99.0  2.21  9.09  6.32 192 1015.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 20 999 99.0 99.0 99.00 99.00 99.00 999 1014.8 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 30 999 99.0 99.0 99.00 99.00 99.00 999 1015.0 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 40 999 99.0 99.0  1.97  9.09  5.88 197 1015.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 07 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.0 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 00 999 99.0 99.0 99.00 99.00 99.00 999 1015.1 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 10 999 99.0 99.0  2.00  8.33  5.93 187 1015.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 20 999 99.0 99.0 99.00 99.00 99.00 999 1015.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 30 999 99.0 99.0 99.00 99.00 99.00 999 1015.4 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 40 999 99.0 99.0  2.10  8.33  5.93 204 1015.6 999.0   9.3 999.0 99.0 99.00 
2023 01 02 08 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.5 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 00 999 99.0 99.0 99.00 99.00 99.00 999 1015.7 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 10 999 99.0 99.0  2.12  7.14  5.91 235 1015.8 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 20 999 99.0 99.0 99.00 99.00 99.00 999 1015.9 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 30 999 99.0 99.0 99.00 99.00 99.00 999 1015.9 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 40 999 99.0 99.0  2.01  8.33  5.73 200 1016.2 999.0   9.3 999.0 99.0 99.00 
2023 01 02 09 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.3 999.0   9.3 999.0 99.0 99.00 
2023 01 02 10 00 999 99.0 99.0 99.00 99.00 99.00 999 1016.4 999.0   9.3 999.0 99.0 99.00 
2023 01 02 10 10 999 99.0 99.0  1.88  8.33  5.48 212 1016.5 999.0   9.3 999.0 99.0 99.00 
